"","roomType","city","long","lat","price"
"286","Private room","Boston",-71.068831,42.348017,160
"287","Private room","Boston",-71.082237,42.343733,160
"288","Entire home/apt","Boston",-71.076781,42.35502,160
"289","Entire home/apt","Boston",-71.08232,42.343988,160
"290","Entire home/apt","Boston",-71.078316,42.354512,160
"291","Private room","Boston",-71.067793,42.350359,162
"292","Entire home/apt","Boston",-71.082599,42.352578,165
"293","Entire home/apt","Boston",-71.08346,42.349407,165
"294","Private room","Boston",-71.07914,42.346134,170
"295","Entire home/apt","Boston",-71.072722,42.353301,175
"296","Entire home/apt","Boston",-71.088342,42.352055,175
"297","Entire home/apt","Boston",-71.08038,42.353978,175
"298","Entire home/apt","Boston",-71.080444,42.353929,176
"299","Entire home/apt","Boston",-71.083508,42.352573,177
"300","Private room","Boston",-71.078813,42.352357,180
"301","Entire home/apt","Boston",-71.090201,42.350917,180
"302","Entire home/apt","Boston",-71.081125,42.343684,180
"303","Entire home/apt","Boston",-71.087407,42.352057,185
"304","Entire home/apt","Boston",-71.081896,42.351994,185
"305","Entire home/apt","Boston",-71.086368,42.352648,185
"306","Entire home/apt","Boston",-71.075657,42.350314,185
"307","Entire home/apt","Boston",-71.085954,42.349496,186
"308","Entire home/apt","Boston",-71.084743,42.348317,186
"309","Entire home/apt","Boston",-71.069991,42.348265,188
"310","Private room","Boston",-71.066142,42.350386,189
"311","Entire home/apt","Boston",-71.084654,42.349734,194
"312","Entire home/apt","Boston",-71.083952,42.351147,194
"313","Entire home/apt","Boston",-71.087755,42.349757,195
"314","Entire home/apt","Boston",-71.080971,42.343789,195
"315","Entire home/apt","Boston",-71.084147,42.348896,195
"316","Entire home/apt","Boston",-71.081553,42.34307,195
"317","Entire home/apt","Boston",-71.083071,42.35086,198
"318","Entire home/apt","Boston",-71.07772,42.34962,199
"319","Entire home/apt","Boston",-71.090698,42.350703,199
"320","Entire home/apt","Boston",-71.08292,42.344028,199
"321","Entire home/apt","Boston",-71.075235,42.354048,200
"322","Entire home/apt","Boston",-71.075224,42.35566,200
"323","Entire home/apt","Boston",-71.090505,42.349529,200
"324","Entire home/apt","Boston",-71.084264,42.349898,210
"325","Entire home/apt","Boston",-71.087523,42.351641,210
"326","Private room","Boston",-71.082859,42.352278,220
"327","Entire home/apt","Boston",-71.085759,42.350953,220
"328","Entire home/apt","Boston",-71.070572,42.34903,220
"329","Entire home/apt","Boston",-71.081797,42.350091,220
"330","Entire home/apt","Boston",-71.077442,42.352971,220
"331","Entire home/apt","Boston",-71.081161,42.342791,220
"332","Entire home/apt","Boston",-71.086954,42.347981,225
"333","Entire home/apt","Boston",-71.079889,42.345051,225
"334","Entire home/apt","Boston",-71.085257,42.348631,225
"335","Entire home/apt","Boston",-71.082733,42.352771,225
"336","Entire home/apt","Boston",-71.077095,42.349353,225
"337","Entire home/apt","Boston",-71.072691,42.356071,229
"338","Entire home/apt","Boston",-71.090077,42.348631,229
"339","Entire home/apt","Boston",-71.089065,42.350299,229
"340","Entire home/apt","Boston",-71.083907,42.350028,230
"341","Entire home/apt","Boston",-71.088498,42.348237,239
"342","Entire home/apt","Boston",-71.074872,42.356404,239
"343","Entire home/apt","Boston",-71.088791,42.351963,245
"344","Entire home/apt","Boston",-71.075025,42.354562,249
"345","Entire home/apt","Boston",-71.090761,42.348182,249
"346","Entire home/apt","Boston",-71.08087,42.345001,249
"347","Entire home/apt","Boston",-71.071012,42.349516,250
"348","Entire home/apt","Boston",-71.070747,42.349498,250
"349","Entire home/apt","Boston",-71.081765,42.347157,250
"350","Entire home/apt","Boston",-71.081226,42.344994,250
"351","Entire home/apt","Boston",-71.088979,42.349712,250
"352","Private room","Boston",-71.080559,42.352196,250
"353","Entire home/apt","Boston",-71.072612,42.353975,251
"354","Entire home/apt","Boston",-71.083048,42.352279,255
"355","Entire home/apt","Boston",-71.08655,42.348176,259
"356","Entire home/apt","Boston",-71.078999,42.346867,259
"357","Entire home/apt","Boston",-71.077962,42.345295,259
"358","Entire home/apt","Boston",-71.085522,42.348,259
"359","Entire home/apt","Boston",-71.078203,42.346554,259
"360","Entire home/apt","Boston",-71.08476,42.341938,259
"361","Private room","Boston",-71.081943,42.345948,259
"362","Entire home/apt","Boston",-71.081029,42.345141,260
"363","Entire home/apt","Boston",-71.084798,42.350106,265
"364","Entire home/apt","Boston",-71.07723,42.351837,275
"365","Entire home/apt","Boston",-71.087696,42.349314,275
"366","Private room","Boston",-71.081442,42.34331,275
"367","Entire home/apt","Boston",-71.086584,42.344791,280
"368","Entire home/apt","Boston",-71.086602,42.349954,285
"369","Entire home/apt","Boston",-71.089533,42.34995,285
"370","Entire home/apt","Boston",-71.078578,42.346091,289
"371","Entire home/apt","Boston",-71.078073,42.34632,289
"372","Private room","Boston",-71.079859,42.345991,289
"373","Entire home/apt","Boston",-71.086656,42.351007,295
"374","Entire home/apt","Boston",-71.07827,42.346425,299
"375","Entire home/apt","Boston",-71.080165,42.345088,299
"376","Entire home/apt","Boston",-71.090153,42.350483,299
"377","Entire home/apt","Boston",-71.078531,42.346543,299
"378","Entire home/apt","Boston",-71.078384,42.346521,299
"379","Entire home/apt","Boston",-71.079422,42.346871,299
"380","Entire home/apt","Boston",-71.086289,42.35002,299
"381","Entire home/apt","Boston",-71.077111,42.353858,300
"382","Entire home/apt","Boston",-71.086706,42.352255,300
"383","Entire home/apt","Boston",-71.081508,42.351038,300
"384","Entire home/apt","Boston",-71.067076,42.348193,300
"385","Entire home/apt","Boston",-71.080004,42.353749,300
"386","Private room","Boston",-71.077774,42.352169,300
"387","Entire home/apt","Boston",-71.083068,42.345855,309
"388","Entire home/apt","Boston",-71.092622,42.347809,315
"389","Entire home/apt","Boston",-71.089711,42.349029,315
"390","Entire home/apt","Boston",-71.075965,42.353475,322
"391","Entire home/apt","Boston",-71.077895,42.350338,325
"392","Entire home/apt","Boston",-71.084121,42.350437,325
"393","Entire home/apt","Boston",-71.078487,42.349541,339
"394","Entire home/apt","Boston",-71.080123,42.346598,349
