Key,X,radius,yaxis,Y,room_id,host_id,room_type,type_num,country,city,neighborhood,address,reviews,overall_sa,accommodat,bedrooms,bathrooms,price,price2,deleted,minstay,timestamp,latitude,longitude,survey_i,town_id,town,subregion,COUNT
3204,-71.133919,3,352.1299531,42.346731,6923942,18182924,Private room,2,United States,Boston,Allston-Brighton,Brainerd Road,0,0,1,1,1,65,130,0,1,59:12.6,42.346731,-71.133919,1,46,Brookline,INNER CORE,1
2471,-71.137516,3,352.5696298,42.347805,5837595,21895566,Private room,2,United States,Boston,Allston-Brighton,Commonwealth Avenue,2,4.5,2,1,1,67,134,0,1,55:27.8,42.347805,-71.137516,1,35,Boston,INNER CORE,1
1091,-71.119373,3,354.1808915,42.353237,5240465,21303807,Private room,2,United States,Boston,Allston-Brighton,Boston (Allston-Brighton,14,4,2,1,1,69,138,0,1,31:51.8,42.353237,-71.119373,1,35,Boston,INNER CORE,1
2768,-71.13786,3,351.5396035,42.347635,5812359,13932262,Private room,2,United States,Boston,Allston-Brighton,Commonwealth Avenue,1,5,1,1,1,69,138,0,1,18:53.4,42.347635,-71.13786,1,35,Boston,INNER CORE,1
3227,-71.138333,3,352.8636262,42.35523,3637531,18346738,Private room,2,United States,Boston,Allston-Brighton,North Beacon Street,0,0,2,1,1.5,69,138,0,1,47:06.4,42.35523,-71.138333,1,35,Boston,INNER CORE,1
2770,-71.141969,3,353.5825559,42.344505,6824472,33482090,Private room,2,United States,Boston,Allston-Brighton,Commonwealth Avenue,1,4,4,1,1,70,140,0,1,01:35.5,42.344505,-71.141969,1,35,Boston,INNER CORE,1
2111,-71.146382,3,350.1680294,42.341276,3606396,18175186,Entire home/apt,1,United States,Boston,Allston-Brighton,Commonwealth Avenue,4,4.5,4,1,1,70,140,0,1,16:09.5,42.341276,-71.146382,2,35,Boston,INNER CORE,1
1276,-71.155764,3,353.5499852,42.347259,4294514,22293299,Private room,2,United States,Boston,Allston-Brighton,Platt Road,11,4.5,2,1,1,70,140,0,1,45:42.2,42.347259,-71.155764,1,35,Boston,INNER CORE,1
2962,-71.120629,3,351.5774085,42.364738,6236751,25518444,Entire home/apt,1,United States,Boston,Allston-Brighton,Soldiers Field Park 2,1,5,2,0,1,70,140,0,4,58:09.3,42.364738,-71.120629,2,35,Boston,INNER CORE,1
253,-71.153069,3,352.1861522,42.341227,4428586,17618315,Private room,2,United States,Boston,Allston-Brighton,Chestnut Hill Avenue,57,5,3,1,2,70,140,0,1,55:44.2,42.341227,-71.153069,1,35,Boston,INNER CORE,1
2307,-71.133502,3,351.0037595,42.347882,5855107,23895478,Private room,2,United States,Boston,Allston-Brighton,Gorham Street,3,5,1,1,1,70,140,0,3,19:40.6,42.347882,-71.133502,2,35,Boston,INNER CORE,1
1204,-71.138246,3,353.9464163,42.347369,3060038,15575274,Private room,2,United States,Boston,Allston-Brighton,Woodstock Avenue,12,4.5,1,1,0.5,71,142,0,1,37:31.5,42.347369,-71.138246,1,35,Boston,INNER CORE,1
1093,-71.166583,3,350.0962499,42.347726,3668038,739438,Private room,2,United States,Boston,Allston-Brighton,North Crescent Circuit,14,5,1,1,1.5,72,144,0,1,22:48.0,42.347726,-71.166583,1,35,Boston,INNER CORE,1
1729,-71.131414,3,351.0142679,42.3502,3992149,16566651,Private room,2,United States,Boston,Allston-Brighton,Glenville Avenue,6,4,2,1,1,73,146,0,1,31:08.9,42.3502,-71.131414,1,35,Boston,INNER CORE,1
3478,-71.13658,3,354.4041907,42.356708,6853905,35423230,Private room,2,United States,Boston,Allston-Brighton,Blaine street,0,0,1,1,1.5,73,146,0,3,44:08.4,42.356708,-71.13658,2,35,Boston,INNER CORE,1
1046,-71.135735,3,353.9101076,42.347957,4680588,8260053,Private room,2,United States,Boston,Allston-Brighton,Kelton Street,15,3.5,4,1,1,75,150,0,1,30:53.9,42.347957,-71.135735,1,35,Boston,INNER CORE,1
2308,-71.136808,3,352.0908533,42.354993,5872926,30489899,Private room,2,United States,Boston,Allston-Brighton,Blaine Street,3,3.5,1,1,1.5,75,150,0,1,50:10.2,42.354993,-71.136808,2,35,Boston,INNER CORE,1
141,-71.139871,3,353.9847784,42.345366,3012529,2005394,Private room,2,United States,Boston,Allston-Brighton,Corey Road,81,4.5,2,1,1,75,150,0,1,51:32.0,42.345366,-71.139871,1,35,Boston,INNER CORE,1
466,-71.170059,3,353.0222068,42.346565,1677807,4192881,Private room,2,United States,Boston,Allston-Brighton,Nonantum Street,35,4.5,2,1,1,75,150,0,1,48:22.5,42.346565,-71.170059,1,35,Boston,INNER CORE,1
366,-71.158183,3,353.7813345,42.352881,3601424,18145041,Private room,2,United States,Boston,Allston-Brighton,Bennett Street,43,5,2,1,1,75,150,0,1,12:17.3,42.352881,-71.158183,1,35,Boston,INNER CORE,1
2771,-71.146811,3,351.9548565,42.342217,5959740,27858335,Private room,2,United States,Boston,Allston-Brighton,Colborne Road,1,0,2,1,1.5,75,150,0,5,12:16.4,42.342217,-71.146811,1,35,Boston,INNER CORE,1
3209,-71.137707,3,352.1472818,42.347271,3835239,19750314,Private room,2,United States,Boston,Allston-Brighton,Boulevard Terrace,0,0,1,1,1,75,150,0,1,24:00.1,42.347271,-71.137707,1,35,Boston,INNER CORE,1
3193,-71.137052,3,352.5622243,42.354919,6766281,35423230,Private room,2,United States,Boston,Allston-Brighton,Blaine street,0,0,1,1,1.5,77,154,0,3,43:26.6,42.354919,-71.137052,1,35,Boston,INNER CORE,1
3216,-71.138653,3,352.7225561,42.354887,6179374,30489899,Private room,2,United States,Boston,Allston-Brighton,Blaine Street,0,0,1,1,1.5,77,154,0,3,02:36.4,42.354887,-71.138653,1,35,Boston,INNER CORE,1
3215,-71.137451,3,353.5256206,42.354931,6944522,30489899,Private room,2,United States,Boston,Allston-Brighton,Blaine Street,0,0,1,1,1.5,78,156,0,1,51:13.8,42.354931,-71.137451,1,35,Boston,INNER CORE,1
2774,-71.130486,3,350.8997771,42.354123,10807,38440,Private room,2,United States,Boston,Allston-Brighton,Farrington Ave,1,3,2,1,1,80,160,0,1,20:23.0,42.354123,-71.130486,1,35,Boston,INNER CORE,1
562,-71.142325,3,354.7860805,42.361078,466361,2315920,Entire home/apt,1,United States,Boston,Allston-Brighton,Richardson St,31,4.5,5,2,1,80,160,0,1,27:55.1,42.361078,-71.142325,2,35,Boston,INNER CORE,1
658,-71.134338,3,354.4940758,42.348072,1075800,5918950,Entire home/apt,1,United States,Boston,Allston-Brighton,Commonwealth Avenue,27,4.5,3,1,1,80,160,0,3,58:06.0,42.348072,-71.134338,2,35,Boston,INNER CORE,1
1275,-71.142021,3,351.7923773,42.349985,3419711,9189449,Private room,2,United States,Boston,Allston-Brighton,Ridgemont Street,11,4.5,2,1,2,80,160,0,1,17:02.0,42.349985,-71.142021,1,35,Boston,INNER CORE,1
1601,-71.153251,3,354.1016965,42.340582,4203335,21806549,Private room,2,United States,Boston,Allston-Brighton,Strathmore Road,7,4.5,1,1,1,80,160,0,2,34:07.6,42.340582,-71.153251,1,35,Boston,INNER CORE,1
1604,-71.135151,3,354.8393009,42.349361,1902160,3609519,Private room,2,United States,Boston,Allston-Brighton,Melvin Avenue,7,5,1,1,1,80,160,0,2,23:28.1,42.349361,-71.135151,1,35,Boston,INNER CORE,1
3225,-71.145265,3,352.8744097,42.342548,6505969,11001979,Private room,2,United States,Boston,Allston-Brighton,Ransom Road,0,0,2,1,1,80,160,0,1,37:45.1,42.342548,-71.145265,1,35,Boston,INNER CORE,1
1351,-71.135769,3,353.4501084,42.348282,5085988,21784541,Private room,2,United States,Boston,Allston-Brighton,Brainerd Road,10,4.5,2,1,1,83,166,0,,53:24.6,42.348282,-71.135769,1,35,Boston,INNER CORE,1
3477,-71.135442,3,351.8674878,42.346566,6404225,21784541,Private room,2,United States,Boston,Allston-Brighton,Brainerd Road,0,0,2,1,1,83,166,0,21,36:02.9,42.346566,-71.135442,2,35,Boston,INNER CORE,1
1094,-71.142056,3,350.4954704,42.351929,4278873,9189449,Private room,2,United States,Boston,Allston-Brighton,Ridgemont Street,14,4.5,2,1,2.5,85,170,0,1,32:50.6,42.351929,-71.142056,1,35,Boston,INNER CORE,1
645,-71.134224,3,353.5608532,42.346077,3664931,617936,Private room,2,United States,Boston,Allston-Brighton,Brainerd Road,27,5,2,1,1,85,170,0,1,31:11.9,42.346077,-71.134224,1,46,Brookline,INNER CORE,1
